3,19,19
0.00041507149208887175 0.0012227311832146148 -3.091416010228671e-06,0.001090735913750459 0.012123072693702747 -8.12359284038103e-06,0.0008478757439253622 0.023367728100908453 -6.314832040818274e-06,0.00143056389387628 0.03297171271916288 -1.0654545237757872e-05,0.0004836239323962997 0.041095235768830035 -3.601977156717781e-06,0.0015064582003134703 0.05242125292338254 -1.1219786736569536e-05,0.0008794581305193051 0.06305862560118122 -6.550049626595721e-06,0.00013562925136549836 0.07458414366809331 -1.010201247320336e-06,0.0009974654851610874 0.08467247273346534 -7.428938401522777e-06,0.00012650701260638814 0.09399747140406871 -9.422611323001849e-07,0.0004935661466499443 0.10472359325143006 -3.676024240748883e-06,0.0009298555597598375 0.11561075413145393 -6.9253968664278525e-06,0.000917534331097636 0.1259944760591367 -6.833631487927586e-06,0.00016984890880477745 0.1351592841845588 -1.2650605558484072e-06,0.00010052542696454456 0.14682039397712968 -7.487568880542317e-07,0.0017758241385035305 0.1569769165066182 -1.3225955760030692e-05,0.00044540710428384825 0.16670175676463264 -3.317347937265235e-06,0.0004468878556119947 0.17702944443328247 -3.3283761966878515e-06,0.0014354202108089993 0.18784149055201516 -1.0690713851592253e-05,0.0003045117410024545 0.19684979116857518 -2.2679950930871474e-06,
0.009436458340497566 0.0010322599240162045 -7.02804116402828e-05,0.011004471544110253 0.012471317768776247 -8.195857532572364e-05,0.009892451698086021 0.023622441822600593 -7.367653423486467e-05,0.01004467888667175 0.03227817998024082 -7.481028363288168e-05,0.010509291338522561 0.04359645796161138 -7.827059905019241e-05,0.00951358558171157 0.05356928978833181 -7.085483572384817e-05,0.011223358836014538 0.0628471413937402 -8.35887922254485e-05,0.010586476967056871 0.07295066532922971 -7.884545798767489e-05,0.010561280396456943 0.08427387248669144 -7.86578003358772e-05,0.010904219812410465 0.09360035501503872 -8.12119259162406e-05,0.010575999448748742 0.10431693694278042 -7.876742409514286e-05,0.01002976729277719 0.11507694336675502 -7.469922587271087e-05,0.010787088939723754 0.12633820618453445 -8.033956495607624e-05,0.010501167000558264 0.13605781844128595 -7.821009104658357e-05,0.011436571533031995 0.14605122664180845 -8.517674618517752e-05,0.010985172384301736 0.1575212758522783 -8.181484009012992e-05,0.01008048107608644 0.16754113256373498 -7.507692923721625e-05,0.011370658281712487 0.17756380625549983 -8.468584104727732e-05,0.011627334911111287 0.1862860720628467 -8.659750332501846e-05,0.011688731809724347 0.19579520571717338 -8.705477181620834e-05,
0.0225614657894403 0.0030899663629076757 0.0004003631360922924,0.021518541838941703 0.011612094996379385 0.0003359680212308646,0.021406983626868027 0.021923155339379552 0.00032907988343636337,0.021012138636588497 0.031170890683316077 0.00030470026449161284,0.0219270000197768 0.04316918505666678 0.0003611881836965853,0.022511455217532138 0.05361657320060936 0.00039727524409329093,0.02300840491851555 0.06238665728801618 0.0004279592964250836,0.021800952130371046 0.07422032871531911 0.00035340538389373917,0.02208049599634722 0.08358749742001101 0.0003706657597339308,0.02133220912196177 0.09420428800852176 0.00032446294772418344,0.0219480328526912 0.10370762122732849 0.00036248685143811774,0.022507379974610338 0.11411802498949775 0.00039702361909617367,0.022489052188415817 0.1257465414257664 0.0003958919738821698,0.02206004049368398 0.13621496718624393 0.0003694027391245011,0.022547102145823877 0.14648226854387894 0.00039947625600859503,0.022534435584179512 0.15721337090857626 0.0003986941618860099,0.022178956645944874 0.16701965704326494 0.00037674519135225793,0.021803077421422797 0.17786204117780718 0.0003535366095323163,0.022434969222907566 0.18748889627703536 0.000392552632816807,0.02030500607141139 0.19704090858300893 0.0002610385164465459,
0.03219678520801992 0.001173301883368033 0.0018428230564993106,0.03279112713908954 0.011762282448233463 0.0019678977500484,0.03395296953216925 0.022144705987048402 0.002212398556184121,0.034057363598642386 0.032851140965456355 0.002234367485498888,0.03325752099391364 0.04372647909128807 0.0020660467538723753,0.032943642481179654 0.05235956949686188 0.0019999934321402297,0.034215445708368916 0.06254661550493917 0.0022676346510748643,0.03282657217896176 0.07346071278785024 0.001975356886394164,0.03348100727962991 0.08437460124587863 0.0021130777258384316,0.03347071923600357 0.094311044492088 0.002110912686091919,0.03283565231020651 0.10511634854546692 0.0019772677302593755,0.033865169217271014 0.11609663594403442 0.0021939216544120256,0.032657599919474194 0.12458394355906624 0.0019397979724611186,0.033159060482247 0.1344303994498966 0.002045326495583973,0.03378521732204261 0.14557886293250868 0.0021770963922664375,0.033345299478518484 0.15620352181288824 0.002084519061626931,0.03506725913128366 0.16637003621000462 0.0024468922421391932,0.03335080747814467 0.1769340531029841 0.0020856781778347913,0.03396832217775865 0.18715580737225762 0.00221562940250655,0.03368490289588992 0.19718932289420346 0.002155985991916558,
0.04520215130532118 0.002059029173707483 0.006549703145933907,0.04429238808453987 0.010383944058454997 0.006154915711306877,0.04480075261671708 0.021248360661942717 0.006365618513582779,0.044642255821898166 0.032016698135819366 0.0062999260494034474,0.04402644731046824 0.041662417119327916 0.006044690739284668,0.04423512870975788 0.051552188355139666 0.00613118331071736,0.044606068834086784 0.06347758584904556 0.006284927560612091,0.04603364415179963 0.07359043970213551 0.006967953575023679,0.04412437383256097 0.08410686373070009 0.006085278528786237,0.044845631427880533 0.09390898516436609 0.00638421951872067,0.04390635240138624 0.10568354844321139 0.005994914776799098,0.044027612886242566 0.11499662716271077 0.006045173837664612,0.045247474929892076 0.12439609568556464 0.006572501448414761,0.04430122177971074 0.1356285954075181 0.006158577029532565,0.043602517295380894 0.1460067012054209 0.005868983669861046,0.04454667747767233 0.15733915161634 0.006260311513591861,0.043770205698888134 0.16680775368808434 0.0059384857973537476,0.04354356532744184 0.1775552012419184 0.0058445497370073094,0.044680924153108745 0.1875115138993913 0.006315952985253019,0.04453171321078892 0.1963204119943658 0.006254109245796278,
0.05328824454589966 0.0012023327429887265 0.010617100697043816,0.05229487188093028 0.011370031937505742 0.01011742286442128,0.05260931610008463 0.02084394918614066 0.01027559190958277,0.052731778291931264 0.03284124333352281 0.010337191795263153,0.05263995800123529 0.04215651229875317 0.01029100513695889,0.05320708957762736 0.053064548809505285 0.010576278818122774,0.053680845485981975 0.0626784502402459 0.010814583468357989,0.05269942584802134 0.07312568094344278 0.010320918145279589,0.05239292473996227 0.08301806200438862 0.010166744576011823,0.05319136440092094 0.09482257960464092 0.010568368874059117,0.052639541724004715 0.10476513585118737 0.010290795744742173,0.05296481216944326 0.11601576941449684 0.010454410505772373,0.05325323586627729 0.1245266070110579 0.01059949093006153,0.052377107004363974 0.13628159385036542 0.010158788073765006,0.05291565326348224 0.1458468934890552 0.010429683012807332,0.053132523239409146 0.15581205068347312 0.010538771095611982,0.05183383063353537 0.16639494993948892 0.009885513834334388,0.05268972532763801 0.17714894051634222 0.010316038672377438,0.05302383320182943 0.18696003656652652 0.010484098761330295,0.053307996989331585 0.19647954710825125 0.01062703640241514,
0.0619652615189691 0.0013457477610480106 0.014030904482629917,0.062400256456365794 0.010962749394594407 0.014188458153705426,0.06067833970417022 0.022638042133801384 0.01356478582496882,0.0609958215114941 0.03262465198908032 0.013679776644271042,0.06067568952846782 0.042375140285571794 0.013563825940439114,0.061496756556858795 0.05307011030393466 0.013861213595790341,0.06212050600035526 0.06334865129160072 0.014087133500151327,0.06121140817566589 0.07267454031790366 0.01375786139297747,0.06108099129756406 0.08323133272239214 0.013710624848023354,0.06100490941174272 0.09497287248347157 0.013683068250502386,0.06128306171649216 0.1029983858647703 0.013783814059163195,0.06231738367526038 0.11654114191449218 0.014158441917255557,0.06226852768384703 0.12528206067792325 0.014140746445102999,0.06116859990804902 0.13671765387023427 0.01374235638559558,0.06211842520724409 0.14557523684493948 0.014086379844038968,0.061447523013673566 0.15513577610583934 0.013843381375683804,0.061523660002008554 0.1672017625682335 0.013870957931145808,0.06126297764520416 0.1767646686682991 0.013776539677579575,0.06136234199330664 0.1880179931401912 0.013812529102907747,0.06101877431016883 0.19713767699592274 0.013688090069053188,
0.07183140223622585 0.0014917005851057263 0.016391428215914817,0.07184070265888588 0.011725292392989056 0.016393166234324626,0.07115659178477846 0.0208145952105126 0.016265322873112782,0.07145802947394451 0.031742852194910076 0.016321654103674203,0.07210472669524592 0.04318245702870238 0.016442505780773182,0.07104641358246248 0.053228543740359846 0.016244733298747763,0.07325979224477487 0.06370787083536764 0.01665835889444347,0.07273678395291633 0.07342183565010095 0.016560621611638106,0.07231494546642553 0.08351997755244922 0.016481790457153294,0.0718498822727616 0.09373984876850008 0.016394881676567857,0.07269535720651339 0.10536015925943838 0.016552879979828593,0.07224827451906493 0.11435616624220782 0.016469331310064193,0.07149721860906297 0.12480026232704547 0.016328977581411733,0.07250635073206256 0.13541956095266397 0.016517559355790683,0.07199169304495495 0.14643145149155076 0.01642138259397675,0.07196967542176588 0.15567861111596282 0.01641726804608558,0.07192253834322607 0.16659771416874672 0.016408459294775933,0.07299432080478878 0.17646176888116952 0.016608748864142677,0.07258240514888255 0.1873167584960189 0.016531772040677413,0.07410926911401482 0.19590479540929814 0.01681710506022696,
0.08187738931870894 0.0011634647071429027 0.017530985538727666,0.08335070053132543 0.011826709363246923 0.017639187229365947,0.08325739116001804 0.02151886731477698 0.017632334480509222,0.08201459361611821 0.032602842447553904 0.017541061982058435,0.08294379207720254 0.04077504484018035 0.017609303398784817,0.08166507258791258 0.05254730764818444 0.017515392750845352,0.08267528917377183 0.06291589106002657 0.017589584232974024,0.082101564971706 0.07201165806177492 0.017547449259662187,0.0828871613137952 0.08328906541830655 0.017605144369592384,0.08232131368475558 0.09395297317509896 0.01756358786097326,0.08247422484754675 0.10400114528766491 0.01757481783478313,0.08307030067614594 0.11454344959219798 0.017618594337568655,0.08172560239025518 0.12477272178069372 0.017519838129996333,0.08294222542562532 0.136082863650899 0.017609188342069138,0.08301364381963078 0.1458555505673209 0.017614433392068005,0.08227620913330076 0.1566797516965891 0.017560275330205086,0.08242087040044252 0.1657656068197217 0.017570899422074186,0.08318354813686289 0.1770004348763412 0.017626911362922926,0.0842469363460869 0.18763905045028645 0.017705007830972275,0.08286904700090918 0.19613054370689897 0.01760381403336591,
0.09198053966879761 0.0005488891019445052 0.018272972662215947,0.09241966924559124 0.01185208410459046 0.01829839563365322,0.09379216894443963 0.022473536542351208 0.01833269268826129,0.09226001086941397 0.032067751987094134 0.018293497352541013,0.09411566337093151 0.04279848968803637 0.018340776410261453,0.09231903303106424 0.05307459723760802 0.0182958808602452,0.09282609504891583 0.06273658160442572 0.01830855170726289,0.09414453809317624 0.07390910328048352 0.01834149795353498,0.09271830601690147 0.08357689597030529 0.018305858193872503,0.09160439895878247 0.09456904659367546 0.018245348450580956,0.09335502122188256 0.10309959288523628 0.018321768912230654,0.09270371269074666 0.11515775498285183 0.018305493524864224,0.0933581112479492 0.12547142221711333 0.01832184612812574,0.09330609422414687 0.13471087606126975 0.018320546287617652,0.09373366281507066 0.1460324258001952 0.018331230693103433,0.09319576186371838 0.15606164467111555 0.018317789219624247,0.09234303526252252 0.16715374373202369 0.018296480646054793,0.09338915563760611 0.17675149493388687 0.018322621888680172,0.09316082556214565 0.18649177563177474 0.018316916205048106,0.0931006534392102 0.19556473870366492 0.018315412578790168,
