3,19,19
0.003145905195021151 0.17991286444508234 -0.001182119429284673,0.014725038257751812 0.18009402214942294 -0.005533183787058507,0.02613571086185617 0.18023696022930652 -0.009770701193457352,0.037219282301201084 0.18027866105432813 -0.012833176841561595,0.04864034472348558 0.18019488932322608 -0.01598890383219233,0.06422698893214113 0.18015079837008963 -0.019140709441412905,0.0735984971326811 0.1797935751419621 -0.02084334859456621,0.08588696274206503 0.180325633452871 -0.02251892037805224,0.10445301171975495 0.173760935870895 -0.012302000919876608,0.11391801401631901 0.17399165577858566 -0.012890629699432115,0.1252799477946659 0.17363435928953003 -0.01155717478476267,0.13684972714993585 0.173758413352735 -0.013471352362747421,0.1534364088232789 0.17912414945865726 -0.022620075499678403,0.1649522539974587 0.17926395698012781 -0.021078059207140204,0.1766912218431676 0.17865427375288728 -0.018945294038075954,0.189343411020257 0.17808442138452396 -0.016502523217662386,0.20295996721245899 0.17943794640276683 -0.012740164488991962,0.21368188482383588 0.18010952873110578 -0.009777616562494141,0.22638053128884117 0.17960529283172613 -0.005058609381636249,0.23609230965554773 0.17921231169326043 -0.0014092365915616776,
0.004230855345874943 0.17053871732139317 -0.0015898086669647881,0.014972062321433102 0.17118527589227753 -0.005626007454700395,0.026248248039888834 0.1690505570645036 -0.009801796077368866,0.03691929837786975 0.16963851650891237 -0.012750288986771056,0.05011871175703775 0.17062472637256457 -0.016397387962419692,0.061104451775564096 0.17103348447626288 -0.018573399046309405,0.07507831101793064 0.16951390006727235 -0.02111220489885463,0.0884908463491911 0.17024357762128867 -0.022886063345639213,0.10043287714885278 0.16953319338506984 -0.012063332024987418,0.11242588682044066 0.1732631018164105 -0.010171630377491955,0.1252799477946659 0.17363435928953003 -0.01155717478476267,0.13829205537016837 0.17154115882406987 -0.011344065533170803,0.1401778239589559 0.1706947650071701 -0.015237250554385254,0.165746727479394 0.16997721151631676 -0.020933717269050973,0.17872668085955115 0.17046852063441298 -0.018575486730460954,0.18966425694743744 0.16980556596197394 -0.01641387103148208,0.2036899529283916 0.17055007042241246 -0.01253846384667267,0.21513125503558594 0.17116104032043253 -0.009285724243255916,0.22383621777919638 0.16954297290336662 -0.006014680261851939,0.23587304295144895 0.1696017913054629 -0.0014916299404925549,
0.005365082689523685 0.1601602481551072 -0.002016014682719711,0.015029888487722916 0.16089461009829287 -0.005647736660999971,0.02698742305316331 0.16040833529856494 -0.010006035792899947,0.03809755153735227 0.16132288835312436 -0.013075849355823937,0.049111675131432275 0.1615353144780973 -0.016119136032566282,0.06139310841691356 0.16058093521876543 -0.01862584291007842,0.07278833428719599 0.1605002547839352 -0.020696156173492134,0.08770655387422115 0.16178570977988135 -0.022798133765160357,0.10053557081005048 0.16196492029551077 -0.011433891715394402,0.11242588682044066 0.1732631018164105 -0.010171630377491955,0.12611461330164384 0.1728670975268167 -0.008693716369697053,0.13930760748899107 0.16090207276643267 -0.011435950079160435,0.15322832247841134 0.16134892427716824 -0.022675677741907395,0.16547499076261735 0.16021494144695303 -0.020983087078417048,0.17618517405148926 0.16131138871136824 -0.019037234072170853,0.1898599039528497 0.1614793622024421 -0.016359812265949823,0.20183306051356573 0.16150202416049714 -0.013051537437858893,0.21305575117764386 0.16143823908605942 -0.00995062208281901,0.22382774707228362 0.16098869490192347 -0.006017863280054467,0.2349490161264907 0.16193793112311222 -0.0018388493914493235,
0.004545502171213896 0.15221813612349705 -0.0017080427851498112,0.014614004065277242 0.1519786348128611 -0.005491460722408244,0.026683989805711645 0.1524324807579836 -0.009922194863445817,0.03829257788213316 0.1532198586488842 -0.013129736628071766,0.049144459457762524 0.15115850129865316 -0.016128194592938756,0.06181684932022299 0.1515352605702091 -0.018702829221921544,0.07245691973538766 0.15244909767404202 -0.020635943945133725,0.08746851718060933 0.15169561026452752 -0.022771446697164882,0.10022056099474351 0.15236430327322403 -0.012609524279859969,0.10115141201715443 0.15106718016300438 -0.009135541180171685,0.1387567694133655 0.15257530462126723 -0.009380198407635282,0.13915182639531842 0.15268795294843326 -0.010854568257749712,0.15178374666574038 0.15254099060962945 -0.02283763383511475,0.16662639663842813 0.15184359342471548 -0.020773896766316243,0.17823044099693816 0.1514546322392522 -0.018665644835363603,0.19004266370400433 0.15324947491237434 -0.01630931434743795,0.20248634259761314 0.1528156736505175 -0.012871030596297336,0.21436162245034937 0.15168259843380452 -0.009574927323151726,0.22502766949093195 0.15226977135712016 -0.005566971171578489,0.23622851747582327 0.15082695611576002 -0.00135805408982616,
0.00532363686826015 0.14216483272302932 -0.002000440681220509,0.016368934223721474 0.14196982948007314 -0.006150906815774785,0.026734213669598193 0.14255780141202484 -0.009936072101567842,0.03729287301640625 0.14297229722720312 -0.012853510519607135,0.04909113210553415 0.14300241636143 -0.016113459837226573,0.061395537921678595 0.14270399419507845 -0.018626284308607577,0.07357944378039523 0.14229710907602794 -0.020839886933656723,0.08631259624732315 0.14273565131091337 -0.022641852641408482,0.10024570314201456 0.14115254379709372 -0.012515692514511232,0.10078981645791196 0.14122687412526053 -0.010485034097391814,0.13894875698812106 0.14304028003935146 -0.010096704392207253,0.13972078192687248 0.14133054467757852 -0.012977935063298581,0.1527318450311581 0.14224087129722623 -0.022731339443437634,0.16302496525782137 0.1428787508748746 -0.021428213867128548,0.1772799573486931 0.14365805685305183 -0.01883833109239967,0.19036943887255586 0.14298821593251523 -0.016219023866470613,0.20108399791447049 0.14112972815775188 -0.013258509169054812,0.2132996547474369 0.14291921026275617 -0.009883229659080459,0.22392083954696618 0.14174782237985384 -0.0059828821333232,0.23512552726377545 0.1412376513678185 -0.001772522204272118,
0.005633593812698439 0.13300976245801882 -0.002116912493581898,0.01451980278819419 0.132576063013146 -0.0054560629238897965,0.02757232785723659 0.13449672254853437 -0.010167649468486042,0.037281524568616387 0.13313313803490157 -0.012850374856595403,0.04996309923114473 0.13322230871314733 -0.016354391030095547,0.06309346211913833 0.13323675693040898 -0.018934767442359175,0.07372007623315217 0.13209001420910482 -0.020865437390973098,0.08714985872148988 0.13159922490689793 -0.02273572086079563,0.10006999013127926 0.13274993144836766 -0.013171462358442573,0.10095810182506922 0.13278415941097993 -0.009856984594996726,0.1390678054891987 0.1327119794729242 -0.010540998579396409,0.13981175385028152 0.13273008104865333 -0.0133174462406942,0.1515069568972075 0.13321141626583202 -0.022868665636393816,0.16536750463318184 0.1332766147401305 -0.02100261542844157,0.1772287302741728 0.1326539118704542 -0.01884763815599214,0.18957745412539093 0.13277891103979705 -0.016437855315804058,0.2017414043090805 0.13113992688059908 -0.01307686274890775,0.2141113051157864 0.13267403842501124 -0.009658964448047345,0.22417398513455775 0.13340743407078448 -0.005887758193669563,0.23571998816917591 0.13342918665198317 -0.0015491429866852954,
0.0050252937504711315 0.12457554776681583 -0.001888332969946588,0.016526153226718993 0.1239123875468582 -0.006209984641083576,0.028105138627052495 0.12365362942355813 -0.010314869163558024,0.03847088874459157 0.12510729387365713 -0.01317900528457475,0.049793698322788314 0.12322389698790585 -0.01630758426212844,0.062435617716078966 0.12310217841090615 -0.018815248618562264,0.07383746489193829 0.12400852806231187 -0.02088676485740736,0.0880432362417906 0.12414768220383311 -0.022835880320533266,0.10029768106980652 0.12304515377575298 -0.012321708258858335,0.10067611020880934 0.1224114562437244 -0.010909391570501073,0.1389982369540989 0.12436381257960405 -0.010281365778678116,0.139833993846058 0.12417910881487464 -0.013400446872849605,0.15224783877774925 0.1228673462125025 -0.022785602958860264,0.16528234681957388 0.12489690413113219 -0.02101808711395292,0.17786199627413837 0.12232470453801962 -0.01873258479821563,0.1896465925639454 0.12405211001508032 -0.016418751835885176,0.201398141277441 0.12477373202423785 -0.013171708952682708,0.21344909764002118 0.12339401734840212 -0.009841937443676228,0.2248488868212839 0.12352464458063944 -0.0056341519272871555,0.23486128113655438 0.1227326551216645 -0.00187181736836575,
0.005652069942550553 0.11469635830416403 -0.002123855226654712,0.016596584084390784 0.1141848762373669 -0.006236450283445829,0.027206669100486313 0.11357668788865444 -0.010066615154394052,0.038918310854624064 0.11355340948394008 -0.013302631439185334,0.050476605070335315 0.11355970049384946 -0.01649627662503095,0.06205210633203033 0.11364227882969749 -0.018745571306843792,0.07457096870449804 0.11410864816501101 -0.02102002967279529,0.08708159015070853 0.11371586328796522 -0.02272806704926451,0.09989521675614134 0.11483746160875663 -0.013823725434796173,0.10068397588534167 0.11474241053138959 -0.010880036467822943,0.13936658467382082 0.11379657506989152 -0.011656055499719705,0.139918084475094 0.11407933264044073 -0.01371427676016091,0.15195464672636852 0.11362688366355093 -0.022818473673421984,0.16411391340142764 0.11435183609289873 -0.021230371032722146,0.177571349905525 0.11287776239481416 -0.018785390160632586,0.18959005614298008 0.1143828023926683 -0.016434373281859045,0.2012297919749902 0.11285272014539793 -0.01321822515388666,0.21368548670738638 0.11483335762688092 -0.009776621334491949,0.22511732996380418 0.11286834870380284 -0.005533279660334079,0.23515441510112173 0.11535711111152662 -0.001761667087567953,
0.005403191247862076 0.10556825263986075 -0.0020303346485594695,0.016825675397248007 0.10523057494630507 -0.006322535402309953,0.026419455574394304 0.10478477631018965 -0.009849102029973071,0.03875770962063593 0.10455295623804495 -0.013258256088619344,0.04960660567999344 0.10500891110502006 -0.01625588913248234,0.061840883577164524 0.10535083492852362 -0.018707195826101995,0.07406821449872286 0.10457965236606408 -0.02092868802566148,0.08723756774403366 0.10401016346989911 -0.02274555420460883,0.0997517153507524 0.10428641837373137 -0.01435927993825633,0.10068231228150902 0.1041884082013565 -0.01088624512147435,0.13910659113422436 0.10550807229538992 -0.010685748294640984,0.13992260818218177 0.10660981881457199 -0.013731159431891016,0.1523464225039339 0.10502575008426707 -0.022774550416649157,0.1634773473105888 0.10350153726137024 -0.021346023959299056,0.17628976275902355 0.10527468464289247 -0.019018232133036307,0.1904915097574767 0.10540271283471242 -0.016185294746352753,0.20036884731891338 0.10423440674771009 -0.013456110754031853,0.21208903558540704 0.1047684102821552 -0.010217733002441769,0.2237546487582501 0.10423553319775553 -0.006045331266674585,0.23335646141916266 0.10556528536892203 -0.0024372800388734743,
0.005753316643592955 0.09514833720552698 -0.002161900468026512,0.01572392016258699 0.09459212216897257 -0.005908531356708824,0.027055488771477253 0.09610532289250567 -0.010024842872003278,0.03908330638363102 0.09485748070875177 -0.013348220967109175,0.05005979512348882 0.0964156936296037 -0.01638110884548529,0.062350076434184526 0.09504481281465309 -0.018799707263569262,0.07491459519436108 0.09771570023568836 -0.021082460596738538,0.08679353523842734 0.09517049534089471 -0.022695772276077088,0.0997108979403769 0.09593715858761913 -0.014511612578392778,0.1129273803809941 0.0836519635901487 -0.012844144513015207,0.12498339506576957 0.08399773219049535 -0.011553725776151859,0.1401948604005016 0.09589515275596336 -0.014747216559481201,0.15117964176050516 0.09539499615461665 -0.022905362001044927,0.16451124913709447 0.0954399162424649 -0.021158182078071883,0.17802522744535337 0.09758330487753591 -0.018702928548956874,0.1879480939134133 0.09530602267393272 -0.016888060017283053,0.20026266676110382 0.09555795295477416 -0.01348544925510738,0.21340284860562475 0.09536908043228384 -0.009854716405977548,0.22203784594899884 0.09459028793272553 -0.006690450339766632,0.23511479542853225 0.09538537464540549 -0.0017765548815064317,
